Keyword,Difficulty,Position,"Previous position","Position Serp Features","Search vol.","Search intent","SERP features",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
"x hammer",72,11,14,,101000000,I,"Reviews, People also ask",0,0,https://www.nykaa.com/hammer-pulse-x-1-83-rectangular-shape-bluetooth-calling-smartwatch-black/p/10708585,408868,8.37,0
nykaa,94,1,1,Sitelinks,1500000,C,"Reviews, Sitelinks, Video, People also ask, Images, Knowledge graph, Top Ads, Shopping results, Related searches",0.9,0.04,https://www.nykaa.com/,242069,4.96,9682.78
sunscreens,70,2,5,,301000,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin/sun-care/c/8428,80151,1.64,2404.54
"hair styler",70,2,2,,1000000,C,"Reviews, Video, Images, Shopping results, Related searches, Image",0.01,0.11,https://www.nykaa.com/dp/hair-styler,72703,1.49,7997.35
moisturiser,57,1,1,,165000,I,"Reviews, People also ask, Images, Knowledge graph, Related searches, Image",0.97,0.05,https://www.nykaa.com/skin/moisturizers/c/8393,55457,1.14,2772.89
"nykaa fashion",97,2,3,,550000,C,"Reviews, Sitelinks, Video, Top Ads, Shopping results, Related searches, Image",1,0.07,https://www.nykaa.com/,31527,0.65,2206.91
foundation,65,1,1,,165000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.22,0.03,https://www.nykaa.com/makeup/face/face-foundation/c/228,27440,0.56,823.22
"a men",69,1,2,"Reviews, Image",90500,I,"Reviews, Video, People also ask, Images, Related searches, Image",0.01,0.2,https://www.nykaa.com/mugler-a-men-eau-de-toilette/p/12603829,24048,0.49,4809.66
plum,71,2,2,Image,301000,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Bottom Ads, Related searches, Image",0.93,0.2,https://www.nykaa.com/brands/plum/c/2131,23876,0.49,4775.3
sunscreen,59,3,4,,301000,C,"Reviews, People also ask, Images, Shopping results, Related searches",1,0.03,https://www.nykaa.com/skin/sun-care/c/8428,20738,0.42,622.16
moisturizing,71,1,2,,165000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.97,0.05,https://www.nykaa.com/skin/moisturizers/face-moisturizer-day-cream/c/8394,19881,0.41,994.08
minimalist,88,2,2,Image,301000,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Knowledge graph, Related searches, Image",0.88,0.09,https://www.nykaa.com/brands/minimalist/c/16420,18988,0.39,1708.94
highlighter,61,1,1,,110000,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",0.94,0.02,https://www.nykaa.com/makeup/face/face-illuminator/c/237,16889,0.35,337.79
"face masks",77,1,1,Image,110000,C,"People also ask, Shopping results, See results about, Videos Block, Related searches, Image",0.95,0.02,https://www.nykaa.com/skin/masks/c/8399,16806,0.34,336.13
mamaearth,79,3,3,Image,673000,C,"Reviews, Sitelinks, Video, People also ask, Images, Top Ads, Shopping results, Related searches, Image",0.94,0.26,https://www.nykaa.com/brands/mamaearth/c/4320,16573,0.34,4309.01
moisturizer,60,1,1,,165000,C,"Reviews, People also ask, Images, Knowledge graph, Shopping results, Related searches, Image",0.97,0.05,https://www.nykaa.com/skin/moisturizers/c/8393,16100,0.33,805.04
moisturizers,65,1,1,,165000,I,"Reviews, Video, People also ask, Knowledge graph, Related searches",0.97,0.05,https://www.nykaa.com/skin/moisturizers/c/8393,15837,0.32,791.88
"nykaa fashion",97,4,5,"Reviews, Image",550000,C,"Reviews, Sitelinks, Video, Top Ads, Shopping results, Related searches, Image",1,0.07,https://www.nykaa.com/clothing/c/9105,15092,0.31,1056.44
"cleanser for face",63,1,1,Reviews,165000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin/cleansers/cleanser/c/8380,14659,0.3,439.79
"face washes",71,1,1,,165000,C,"Reviews, Video, People also ask, Images, Shopping results, Related searches, Image",1,0.03,https://www.nykaa.com/skin/cleansers/face-wash/c/8379,14331,0.29,429.94
moisturizing,71,2,4,,165000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",0.97,0.05,https://www.nykaa.com/skin/moisturizers/c/8393,13868,0.28,693.43
lipsticks,68,3,2,Image,201000,C,"Reviews, People also ask, Images, Shopping results, Related searches, Image",0.98,0.02,https://www.nykaa.com/makeup/lips/lipstick/c/249,13848,0.28,276.98
"hair serums",67,2,2,,90500,C,"Reviews, People also ask, Shopping results, Related searches, Image",1,0.06,https://www.nykaa.com/hair-care/hair/hair-serum/c/320,13388,0.27,803.3
serums,53,1,1,Reviews,90500,C,"Reviews, People also ask, Shopping results, Related searches, Image",0.95,0.14,https://www.nykaa.com/skin/moisturizers/serums-essence/c/8397,13330,0.27,1866.22
"dot and key",72,2,3,"Reviews, Image",246000,C,"Reviews, Sitelinks, Video, People also ask, Shopping results, See results about, Related searches, Image",0.97,0.09,https://www.nykaa.com/brands/dot-key/c/7675,12037,0.25,1083.42
"lips lip balm",69,2,2,,135000,C,"Reviews, Video, People also ask, Images, Shopping results, Videos Block, Image",1,0.02,https://www.nykaa.com/skin/lip-care/lip-balm/c/8409,11054,0.23,221.1
"nykaa store near me",71,1,1,"Local pack",27100,"L, C","Local pack, Reviews, Video, Related searches",0.12,0.18,http://www.nykaa.com/,10880,0.22,1958.57
"perfume for women",56,1,4,,74000,C,"Reviews, Video, People also ask, Shopping results, Related searches, Image",1,0.02,https://www.nykaa.com/fragrance/women/perfumes-edt-edp/c/962,10639,0.22,212.79
